Tickets: 6016
Sets: 420

+-------------------------------------------------------------+-----+----+----+----+----+----+------+
|                             addr                            |  1  | 2  | 3  | 4  | 5  | 6  | sets |
| stake1u9pd5nryj9szmh856ymyl63rux7xdmsehhqml30vdm8esncaghk0r |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9pr5s6vedcrmkh2g4ana0jqtml6ftk0vxntff5lee9dvdqemdtjv |  5  | 1  | 2  | 5  | 5  | 6  |  5   |
| stake1u9r6v9w96yp4dxlxpyaqhs5q2ss4pwtn6wu4jka7tnqftcqzffdaa |  10 | 12 | 10 | 4  | 5  | 2  |  2   |
| stake1u9sp9zq7pgm066jh5sa8zxx0yfedxp8m5z9mradm5hhjp7c927csn |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9t6qsejtuajxfusg202tm28eu5zxugt25c56l5km5hyhtgd6xkfa |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9tm5mgqwh5f2dme62w2y6dg3au2nf9sxnfnz6dnad04w3gnhqwex |  1  | 3  | 0  | 0  | 0  | 0  |  0   |
| stake1u9v8wgpgmaynty2xk5sq7wpfxreawrcw92s2pcm7q552l2ggsn20t |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9vf53uerge57mx2nuyl5h5ze5j4y264s7jesazhpk82gtcffu0s4 |  14 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9vwpu38clm7unu5mvttn0mqwq4cauex36ca0qn5supr0xgn5p7p7 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9w5ftes5m22lrf688zuphu428n5z7h0te6aga0t7vf8x8g3aceek |  5  | 0  | 1  | 1  | 0  | 1  |  1   |
| stake1u9wfefstagt5knq3gjptpnhp09kc2qh9mn4r7mj4ckruzug8q96zd |  1  | 0  | 1  | 1  | 1  | 1  |  1   |
| stake1u9whwgymw9ulllnzjvrxsexxyrs2teqztl30c0dnh59e5jqrmuhc6 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9xx53sz3d5vhpp0gtsk94zs89j5szcdr0wrcscuq2ltzsqp975zw |  4  | 4  | 4  | 4  | 4  | 2  |  2   |
| stake1u9xyhndra8cuw5c53xh2nf2s674mtp6c54eqpycgmneukeg6hdz3z |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9y9wmf746q2m9x6h69nfkja6cw9xfxefv2zxw56uatk02qnz3e0y |  4  | 4  | 4  | 4  | 4  | 2  |  2   |
| stake1u9yaa6hl9gxlka0gar5majt6v087ft995a8t4x6uurt3v5gvrlyyz |  8  | 0  | 2  | 2  | 2  | 0  |  0   |
| stake1u9yqvlwsjphpwg5tj245uds9ah9c4djj2xrefvv0rrssusg27s479 |  37 | 7  | 4  | 1  | 2  | 0  |  0   |
| stake1ux2dk2ct2ej6p3w9w6pyg2qfl99vsptp8zju5axkjc7eqsquldrkl |  3  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1ux2gxj8mh3era5zu22vnzym540mymh43638s2ahqg2acvng66ywcd |  10 | 0  | 1  | 1  | 0  | 1  |  1   |
| stake1ux39d5ffc8qxppprh33tzx79kmg7ay4plpvvq2r4r4r4zlqs2nn5n |  2  | 1  | 5  | 2  | 3  | 3  |  3   |
| stake1ux46c5w2rqnsnte60q083cvu3s2crkfhvxzk27acaex63lsnpr7dl |  2  | 2  | 2  | 3  | 2  | 2  |  2   |
| stake1ux4vhvk0map8wg7569yjm3d3v003v96yurlry4u5dgfmz6c2aqxvl |  5  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1ux5e52699cjqej848zfkc4yav2qnhj462nuwvv6wa9pk27qvjscma |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1ux5wgefa0p3er05wng84wmh455qsrucmj4h5ww5lqe80escaxvruu |  7  | 11 | 15 | 10 | 20 | 20 |  20  |
| stake1ux6cx5qhxu7as534xwq28azc9wqu06z73ru0956t88p7r9qf2ydcs |  7  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1ux6jxqc08vu4fg7y9hs9w6fvtm8hq8dvswvy3vdqvam9r3s8zezdg |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1ux7gh5lk3yyuhuh4kgmm0dlrhzmwv7u9mqr90g7e35qtfnsh027va |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1ux9duaqtnxmsq8k90ak3tfq9r9urjswrt4rhqwt3rfvqxugcpm338 |  4  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1ux9hw3kjmf0g24c4ygpt874p275lgfjnggw6rktjcnvlcdq0zayaq |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1ux9pyvkecxah2hhsf6awwmkp5l8nqn5nv5jgaxycsdugatqwgddgf |  10 | 0  | 0  | 10 | 10 | 10 |  10  |
| stake1ux9u5nxqg69jsfrxm39s0y97kse6zfusp4klw20a8fh2vws5t7jqs |  10 | 0  | 0  | 10 | 1  | 0  |  0   |
| stake1uxajcy6w6z8mghcjzz6lzu8p4tq7syrgfkd6kxmp4nv029skelf7t |  10 | 0  | 1  | 0  | 0  | 0  |  0   |
| stake1uxamm5lcv7l3fp2e4uhf6ragnpl4kkzgrrvzrld4rl2g27s8g9h97 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1uxamtguqm2ca5qllfqgcvwrln6369rmn0tlcnqwwd4ukqgguwjapd |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1uxast4gc22c85uahvgz359s0fdex7dl625pdg7sracw6lvg65atzl |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1uxatv000shfwf4v6wfqgzjnry2efvd3qq8pj8q2asl6626q8u40qs |  20 | 11 | 1  | 0  | 0  | 0  |  0   |
| stake1uxaz55kdz8d76k7624hfv5k8e08aqhm74349xa7hx97tgucw94gn9 |  1  | 1  | 1  | 1  | 1  | 1  |  1   |
| stake1uxc4rpdfepaxj59tncd30kk537aapdd5gcmtltnynnld9tsj4frsn |  1  | 5  | 9  | 18 | 0  | 6  |  6   |
| stake1uxcj5svvg83rjsptdvglrer5l342nuzpnkd4p475gkehmysmctf2y |  1  | 1  | 1  | 1  | 1  | 1  |  1   |
| stake1uxddhcxzw83e70casdvsk2lpne0ec775zydr0fpeklyd77ctww4rs |  3  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1uxdj6mlzwn5thtg4cpkw0jtc828dguzg0xy6m8jm0ldceds74730v |  10 | 5  | 0  | 0  | 0  | 0  |  0   |
| stake1uxdzelq9zya36svr6wu7sq0lfa0p9mqh0gdnpfnpuds872q5xlprh |  1  | 0  | 1  | 8  | 3  | 1  |  1   |
| stake1uxe64ql4u3gg7ggwkrxvhy6t9px7s5fzqzeekhtx2mvndcsl8mx27 |  1  | 1  | 0  | 0  | 2  | 0  |  0   |
| stake1uxec6aazgt7d4zmccstr6atnfqqw82zespqkzk7a8000s5q44543s |  2  | 2  | 3  | 2  | 2  | 2  |  2   |
| stake1uxepzyl8vs8akcl0wgv74ay2v976xv6p38yd0a5fl0mqgmqzd9j8r |  10 | 5  | 0  | 2  | 0  | 0  |  0   |
| stake1uxerd4z9t2zvaxl96kysjnjazg2830z4v9zxp0d4nm2a93gvqhudt |  2  | 2  | 2  | 2  | 2  | 2  |  2   |
| stake1uxfhpcv0dh465t0q0x80dwclw5k5dz2lmzwznfvfn08090cntzrdg |  2  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1uxg6nr5v7w242hjzql8uunfsyg5a76pe566zqzm20qfjjhc6yehlm |  20 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1uxh38cec420s8m65s487uwmp5u6vdp80rxkhszsp2x9ffws9esj2p |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1uxkm7v6shej4q0ek25556505g0dyzwfajy0jxh788g8shfsk2d70p |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1uxknm225kmqfr48rn4ejdqs94f8guhjtlycx7kfkynlueaqhtl54w |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1uxl3hdhqutf4gkc5s4yjempdgap0jz5swh9qjaarqj97p4swxdrq4 |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1uxl4f4mg7xtkz9vdjx8ztsaa5hug2gepzxayg5vl29j2cvcn3f922 |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1uxlysv6gxn3gqq474nw0a9mk2xh6ryphpeqr366s9kfgu3qjnpf99 |  1  | 0  | 0  | 1  | 1  | 1  |  1   |
| stake1uxmfucmfadwcu4kncrnzluxft903eff4v5ss397ysssv2ws5haxwq |  1  | 0  | 0  | 1  | 0  | 0  |  0   |
