addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook218 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook823 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook866 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook889 
addr1qykwgus5e9ct9k4v47fmvlucypqg76x0e5lq8scy9yhwgf0a4agrlcg4zewh67d5f4gdk0khzt2cmcy029cgu0r30lxsa9v3rk: RaffleforUkraineOGBook1063 
addr1qykwgus5e9ct9k4v47fmvlucypqg76x0e5lq8scy9yhwgf0a4agrlcg4zewh67d5f4gdk0khzt2cmcy029cgu0r30lxsa9v3rk: RaffleforUkraineOGBook1086 
addr1qykwgus5e9ct9k4v47fmvlucypqg76x0e5lq8scy9yhwgf0a4agrlcg4zewh67d5f4gdk0khzt2cmcy029cgu0r30lxsa9v3rk: RaffleforUkraineOGBook133 
addr1qykwgus5e9ct9k4v47fmvlucypqg76x0e5lq8scy9yhwgf0a4agrlcg4zewh67d5f4gdk0khzt2cmcy029cgu0r30lxsa9v3rk: RaffleforUkraineOGBook1453 
addr1qykwgus5e9ct9k4v47fmvlucypqg76x0e5lq8scy9yhwgf0a4agrlcg4zewh67d5f4gdk0khzt2cmcy029cgu0r30lxsa9v3rk: RaffleforUkraineOGBook1466 
addr1qykwgus5e9ct9k4v47fmvlucypqg76x0e5lq8scy9yhwgf0a4agrlcg4zewh67d5f4gdk0khzt2cmcy029cgu0r30lxsa9v3rk: RaffleforUkraineOGBook1968Copy 
addr1qykwgus5e9ct9k4v47fmvlucypqg76x0e5lq8scy9yhwgf0a4agrlcg4zewh67d5f4gdk0khzt2cmcy029cgu0r30lxsa9v3rk: RaffleforUkraineOGBook253 
addr1qykwgus5e9ct9k4v47fmvlucypqg76x0e5lq8scy9yhwgf0a4agrlcg4zewh67d5f4gdk0khzt2cmcy029cgu0r30lxsa9v3rk: RaffleforUkraineOGBook310 
addr1qykwgus5e9ct9k4v47fmvlucypqg76x0e5lq8scy9yhwgf0a4agrlcg4zewh67d5f4gdk0khzt2cmcy029cgu0r30lxsa9v3rk: RaffleforUkraineOGBook644 
addr1qykwgus5e9ct9k4v47fmvlucypqg76x0e5lq8scy9yhwgf0a4agrlcg4zewh67d5f4gdk0khzt2cmcy029cgu0r30lxsa9v3rk: RaffleforUkraineOGBook983 
addr1qxlmedz6rnsfd5ee3dx3yggllnwcf929n7xe2sws77g4n7ky3yzmryd8a8epqmkkuarrcy90cnmcph0kge5k7clyxfzqpmqhux: RaffleforUkraineOGBook830 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBook1359 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBook1379 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBook1423 
addr1q8rggducg8em0ca9yzgkyq0plurejg4nq86q2835p4y95xpu2rc803cjjnggf8lf59zkncfv2rk8pr0dluard6l82vkscpccy5: RaffleforUkraineOGBook1471 
